text,class
" hpl nom for october 6 , 2000
( see attached file : hpll 006 . xls )
- hpll 006 . xls",0
" re : lindholm oil , inc .
the new sitara no . is 168509",0
" your specialist ' s appointment starts on the 24 th
stop the paln
vi - codine pain relief !
fda report : http : / / chamberlain . . com
c _ e ' a ' s . e : http : / / canberra . . com / please
provisional edtbauhaus crave demolitionbooze
martingale adjudgepluperfect gottfried blousebeau
allegra heirsubtracter demit oblongdirectorate
roberto vindictivebristle nation cookbookcarven
soulful oleandertune haiku inaccessiblemuscular
balm fishermanindebted dade dizzytroposphere
",1
" re : start dating
daily update :
4 unfaithful wives have been matched for you in your area :
1 . emily , 137 lbs , 5 ' 8 , 36 c , 19 miles away , available most week nights ( looking for side - fling )
2 . amanda , 135 lbs , 5 ' 6 , 36 d , 21 miles away , available most nights ( husband works midnights )
3 . jasmine , 128 lbs , 5 ' 9 , 34 b , 14 miles away , available jan 29 - 31 th
4 . stephanie , 122 lbs , 5 ' 6 , 36 c , 19 miles away , available jan 31 - feb 7 rd
all 4 women are waiting to speak with you live have photos . webcam ' s are available for all 4 .
no more
http : / / byway . date 4 real . biz / remove
and allow 48 hours .
",1
" re : intraday eastrans nomination change for 9 / 6 / 00
10 , 545 will be delivered to mobil beaumont from cipco for 6 th only .
| - - - - - - - - + - - - - - - - - - - - - - - - - - - - - - - - >
| | marta k |
| | henderson |
| | |
| | 09 / 06 / 00 |
| | 09 : 21 am |
| | |
| - - - - - - - - + - - - - - - - - - - - - - - - - - - - - - - - >
| |
| to : darrel f . bane / easttexas / pefs / pec @ pec , john
a . |
| bretz / gcs / cec / pec @ pec , chad w . cass / gcs / cec / pec @ pec , michael
r . |
| cherry / easttexas / pefs / pec @ pec , bruce
mcmills / ftworth / pefs / pec @ pec , |
| william e . speckels / gcs / cec / pec @ pec , donna
c . |
| spencer / gcs / cec / pec @ pec , julia a . urbanek / gcs / cec / pec @ pec , dora
j . |
| levy / gcs / cec / pec @ pec , briley @ enron . com ,
dfarmer @ enron . com , |
| carlos . j . rodriguez @ enron . com , sharon
beemer / ftworth / pefs / pec @ pec , |
| connie
wester / easttexas / pefs / pec @ pec |
|
cc : |
| subject : intraday eastrans nomination change for
9 / 6 / 00 |
deliveries continue to be 30 , 000",0
" - - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 03 / 21 / 2000
11 : 18 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
royal _ b _ edmondson @ reliantenergy . com on 03 / 21 / 2000 11 : 12 : 40 am
to : ami _ chokshi @ enron . com , ggrant @ enron . com
cc :
subject :
( see attached file : egmnom - mar . xls ) ( see attached file : hpl - mar . xls )
- egmnom - mar . xls
- hpl - mar . xls",0
" stop overpaying for via . gra
this little - known pharmacy site is becoming one of the most popular destinations for cost - conscious consumers .
significant savings are only a mouse - click away .
the ordering process is completely electronic so you don ' t have to talk to a doctor .
sincerely ,
dollie mazurek
click to order today
if you have no interest in generic medications , select below :
i do not need this product at this time
p 5 gkkge",1
" deals not in nomination - october , 2000
daren ,
fyi .
bob
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 09 / 26 / 2000 09 : 52
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : robert cotten 09 / 26 / 2000 09 : 53 am
to : vance l taylor / hou / ect @ ect
cc :
subject : deals not in nomination - october , 2000
vance ,
the following deals are active but not in your nomination for october , 2000 :
counterparty name meter # deal #
aransas drilling 9645 130880
cokinos natural gas 9676 279659
james c . freeman 5547 133168
gsf energy 6353 138841
hesco gathering 6392 93487
north central 0071 138550
prime operating 6388 362921
shoreline gas 6722 166395
spinnaker exploration 9848 379424
please advise if the above deals should still be active . thanks .
bob",0
" november prelim wellhead production - estimate
daren ,
fyi .
bob
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 10 / 24 / 2000 08 : 52
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
vance l taylor
10 / 23 / 2000 04 : 42 pm
to : robert cotten / hou / ect @ ect
cc : gary a hanks / hou / ect @ ect , mary m smith / hou / ect @ ect , lisa
hesse / hou / ect @ ect , melissa graves / hou / ect @ ect
subject : november prelim wellhead production - estimate
bob ,
please see the attached file estimating wellhead production for the month of
november . please be advised that this is a preliminary estimate as to this
date , we have received no noms for november and there may be revisions from
the traders . i will update you with any revisions as they occur .
thanks ,
vlt
x 3 - 6353",0
" new nomination - tejas
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 06 / 13 / 2000
01 : 19 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" jan svajian "" on 06 / 13 / 2000 11 : 07 : 59 am
to :
cc :
subject : new nomination
see attached .
- enron nom change . xls",0
